,Posting date,Caption,Address,Vacant Form,Vacant Till,Duration,Cold Rent,Warm Rent,Deposit,Area Flat,Area of room,No. of room,No. of people,Gender,Rooms,Bedrooms,Kitchen,Bathrooms,Floor,Description,Type,Furnished,Poster Name,Agent Name,Company,Number,Pic URL
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.10.2022,,"###  Adresse

Platzl 5  
80331 München Altstadt-Lehel  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",01.11.2022,"

",,,350€,,n.a.,,,,,,,N,N,,"###  Zimmer

\--Bitte den kompletten Text genau lesen. Bewerbungen die formal falsch sind,
werden ignoriert--  
  
Hallo liebe Studenten,  
  
wir sind mehr als eine reine Studenten WG. Das exklusive Corps Rheno-Palatia
München ist eine offene Gemeinschaft junger Studenten aller Fachrichtungen und
verschiedener Herkunft die in der Studienzeit viel Spaß haben und über den
Tellerrand des eigenen Studienganges hinaus blicken möchten. Dazu gehören
zahlreiche gemeinsame Aktivitäten, wie z.B. das Besuchen von exklusiven
Events, das Organisierungen von wilden Partys oder spannende Ausflüge und
Reisen durch ganz Deutschland und Europa.  
  
Wir setzen uns auch dafür ein, dass unsere Mitglieder mehr als nur erfolgreich
im Studium sind, indem wir Workshops und Seminare von Young Professionals
bekommen. Darüber hinaus gibt es auch verschiedenste Fördermaßnahmen wie
Stipendien für Auslandssemester und zusätzliche Unikurse welche von uns
finanziert werden können.  
  
Was wir dir bieten (alles auf einen Blick):  
-Internationales Karrierenetzwerk  
-Exklusive Events, Vorträge und Veranstaltungen  
-Ausflüge und Reisen durch Europa  
-Wilde Partys  
-Freundschaft und Gemeinschaft  
-Studium fördern und Persönlichkeiten bilden  
  
Neben unserer Verbindungs-/Party Etage im zweiten Stock, befindet sich in den
zwei obersten Stockwerken unser Wohnheim. Aktuell sind 3 Zimmer frei.  
  
Fakten zum Wohnheim:  
\- 2 Etagen (4 & 5 OG)  
\- 2 Küchen  
\- 2 Badezimmer / 2 WCs  
  
Jegliche Räumlichkeiten sind immer frei zugänglich und nutzbar. Egal ob für
eine Party oder eine Lerngruppe. Freunde und

Kommilitonen sind herzlich willkommen, ob spontan auf ein Bierchen nach der
harten Woche oder zu einer Veranstaltung.  
  
Wir kennen keine politischen, religiösen oder weltanschaulichen Vorgaben für
Mitglieder unserer Gemeinschaft. Ebenso fremd sind uns nationale Abgrenzungen.  
  
Homepage: https://www.corps-rheno-palatia.de  
  
Mit den besten Wünschen und bis bald,  
Corps Rheno-Palatia

\--Bitte den kompletten Text genau lesen. Bewerbungen die formal falsch sind,
werden ignoriert-- Hallo liebe Studenten, wir sind mehr als eine reine
Studenten WG. Das exklusive Corps Rheno-Palatia München ist eine offene
Gemeinschaft junger Studenten aller Fachrichtunge...

",,,,,,,"https://img.wg-gesucht.de/media/up/2022/28/20d781f073cb9335c55a49bb43ac4d6458fa5a313f2b4dcdfbede8ea87e63849_IMG_9813.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/edc43962d1d80c70199943e189452073bfd68a5fa36d4565868fd873210bf7f0_IMG_9843.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/8c6bd7efd4d4c6e0411f124e2359885fb9c98516f8d85a1c8bded1a657852ebb_IMG_9790.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/f5cf49b2172ba3201cc56e09a026cad6f290a4a46781515bea53f26b21e03d2f_IMG_9861.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/d16a3c61829868ff043a7a5eb35e7547fc28acfbabfa02cad1e2fa2dff83e35a_IMG_9864.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/c413f6d3a90e081026e7e2101e9e68221ada58d45e53a3e9060413e2ffeb2d4f_IMG_9872.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/bf7a42cd82c44277158239a78c9aff6231da09a09530a55b2bc17d43aa8ff425_IMG_9750.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/28/dcc0012a47538e8d8590e9d9d53233b6a1150f669535b23001c7a796726334b3_IMG_9810.thumb.jpg?w=120,https://www.wg-gesucht.de/img/d.gif"
2,19.10.2022,,"###  Adresse

Sachsenkamstraße 17  
81369 München Sendling  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",18.10.2022,"01.06.2023

",,,570€,1500,90m²,,,,,,,N,N,,"Wir suchen ab sofort eine/n Mitbewohner/in für das ca. 10 qm Zimmer in unserer
WG in Sendling-Westpark.  
  
Wohnung:  
Unsere ca. 90 qm große Wohnung hat eine geräumige Küche und ein großes
Wohnzimmer (ca. 25qm) mit Balkon, 2 Bäder (jeweils mit Dusche/Badewanne & WC
), eine Abstellkammer und insgesamt 3 Schlafzimmer.  
Lage:  
Ubahn Station (Partnachplatz) sowie Nachtbus sind

in 2 Gehminuten zu erreichen, sowie auch Supermärkte, Banken und Apotheken.
Der Westpark ist in weniger als 10 Minuten zu Fuß zu erreichen. Einige Cafés
und Restaurants in unmittelbarer Nähe.  
  
Mietpreis 690 Euro warm (inklusive Nebenkosten, Internet und GEZ)  
Wir freuen uns auf deine Nachricht und eine kurze Beschreibung von dir.

Wir suchen ab sofort eine/n Mitbewohner/in für das ca. 10 qm Zimmer in unserer
WG in Sendling-Westpark. Wohnung: Unsere ca. 90 qm große Wohnung hat eine
geräumige Küche und ein großes Wohnzimmer (ca. 25qm) mit Balkon, 2 Bäder
(jeweils mit Dusche/Badewanne & WC ), eine A...

",,,,,,,"https://img.wg-gesucht.de/media/up/2022/41/de872799835c112f884ef756a680b00b6d9f364c431077102270ae70eca66a42_5D9D4C09_107B_4FA7_B0D2_942635E168DD.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/9e3f651b07da97f8c605e0db8594df9f81d216fdf86f369bb782becf2449e8b4_99DE927F_AD5C_4498_A812_9ACFC4862DF0.thumb.jpeg?w=124,https://img.wg-gesucht.de/media/up/2022/41/093b7713924191e2fdcd74f0827cd460cc867d2357fb375bff97b877d92d4bf6_7ADDF803_BA55_415C_8EA3_F8890EAA6334.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/432325a60eeb6919b9fced2dd30e28ef77c00c93e3bd28dc9b05b1a2911362d8_41FBB837_D422_4138_9488_3BD3839EAB92.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/c9ea19396e5862b62766b8b1236fca16475f9166e4924e94cce74aaae4638b86_7AEE4ECA_3B14_49E8_8F74_F8EDD2DC5716.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/03eae0242c3a4b5aecefc8fce5d06bb89116e4c4111c734c278a696962606db7_70DEA27E_8BEE_46F0_A728_8F8A0A34DEC6.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/790740020e43be34911e424e03811bd254f6750a8003267d45a954bbb2963f11_CBAD0F63_C5ED_4FE7_B610_19C766C574DC.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2022/41/ce3f082a7038d138ddbbd6fb7a85a9fe63909aff8fe9b4c13cd47ba8212bcc91_D50C3CC8_E9CB_4578_9302_86C237E8F1AB.thumb.jpeg?w=120,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif"
3,19.10.2022,,,31.10.2022,"01.12.2023

",,,,,,,,,,,,N,N,,,,,,,,,
4,19.10.2022,,"###  Adresse

Centa-Herker-Bogen  
80797 München Schwabing-West  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",20.10.2022,"

",,,460€,,n.a.,,,,,,,N,N,,"Es gibt mehrere Zimmer Optionen  
Zimmer 20qm zum teilen, 460€ (this one is shared room, not single room)  
  
Zimmer 10qm, 700€  
Zimmer 15qm, 800€  
  
+60€ ür Strom, Rundfunkgebühren, 100mbit Internet, Waschmaschine und Trockner,
Reinigungsmittel und Klopapier  
  
Hi, schön dass wir uns kennenlesen :-)  
  
Die meisten Mitbewohner sind Studenten oder Berufsanfänger. Gemeinsam auf der
Terasse mit kleinem Garten bei Bier Wein Sonnenuntergang entspannen,
Spieleabende, Gemütliche zu Hause  
Atmosphäre  
wollen

wir. Nur ordentliche Nichtraucher bitte.  
  
Die meisten zentralen LMU/TUM Gebäude sind in 5-10min mit dem Rad erreichbar.
Unisport ist um die Ecke im Olympiapark, den wir direkt vor dem Fenster haben.  
  
Bitte schreib gleich, von wann bis wann du ein Zimmer suchst und was du in
München machst.  
  
einen Rundgang durch die Wohnung als Video kannst du hier sehen:  
https://www.dropbox.com/s/ixwrnt1cyvoso9y/Zimmerbesichtigung.mkv?dl=0

Es gibt mehrere Zimmer Optionen Zimmer 20qm zum teilen, 460€ (this one is
shared room, not single room) Zimmer 10qm, 700€ Zimmer 15qm, 800€ +60€ ür
Strom, Rundfunkgebühren, 100mbit Internet, Waschmaschine und Trockner,
Reinigungsmittel und Klopapier Hi, schön dass wir...

",,,,,,,
5,19.10.2022,,"###  Adresse

Birkenau 31  
81543 München Untergiesing-Harlaching  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",19.10.2022,"

",,,480€,720,50m²,,,,,,,N,N,,"ÜBERNACHTUNGSMÖGLICHKEIT z.B. für einen Student, Backpacker,
Wochenendheimfahrer, Praktika oder ähnliches, auch ideal für den Übergang im
absoluten Superviertel!  
  
Es ist ein gemütliches kleines Zimmer (vollmöbliert) direkt an der Isar in der
wunderschönen Birkenau! Das Viertel ist ein Idyll, mitten in der Großstadt,
umgeben von grünen Isarauen (Aubach & Auermühlbach). Bis zur U-Bahn-Station
sind’s 4 Minuten! Fotos schicke ich gerne per TeIegram! Dann weiß ich auch,
daß Deine Nachricht nicht copy & paste ist! Toll wäre wenn Du italienisch oder
kroatisch sprichst, da ich gern ein paar Vokabeln aufschnappen würde.  
Ich finde der persönliche Eindruck lässt sich digital nicht ersetzen.
Besichtigung in Person jeden Tag um 19h möglich. Melde

Dich an dem Tag, an dem Du auch vorbei kommen magst, damit ich nicht eigens
für Wg-gesucht ein extra Terminverwaltungsbüro 😂 brauche. Auf ‘AlRBNB &
COUCHSURFlNG’ konnte man sich als HOST auf Reputationen & REFERENZEN
verlassen; auch das fehlt hier leider... Starte am Kolumbusplatz in die
Platterstraße, gehe am Hexenhäuschen (https://www.ganswoanders.de, hat zur Not
WIFI) vorbei und biege dann unter der alten Eisenbahnbrücke ins Viertel ein.  
  
Bis später, beste Grüße aus den Isarauen!  
  
  
PS: Bitte hänge Dein CV (pdf) oder AlRBNB-Screenshots (oder ähnliches) direkt
hier unten an! Bitte keine Links oder Nummern, kein OnIine-ping-pong & keine
Intranet-bigtechs (=LlINKEDlN, SKYP€, XlNG, Z00M, INSTANT, FACE-TlME+B00K
inkl. MESSENGER WHÄTSAB, etc.).

ÜBERNACHTUNGSMÖGLICHKEIT z.B. für einen Student, Backpacker,
Wochenendheimfahrer, Praktika oder ähnliches, auch ideal für den Übergang im
absoluten Superviertel! Es ist ein gemütliches kleines Zimmer (vollmöbliert)
direkt an der Isar in der wunderschönen Birkenau! Das V...

",,,,,,,
6,19.10.2022,,"###  Adresse

Kunigundenstr. 2 a  
80802 München Schwabing  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",01.12.2022,"

",,,940€,2400,115m²,,,,,,,N,N,,"###  Zimmer

Servus ! Welcome to 01.12.2022* 🖤  
Eine Person_einziehen am 01.12.2022_Schwabing ist jung, urban, akademisch und
wird's auch bleiben !  
  
—Online-Besichtigung  
—Einzelbesichtigung  
  
Traumhaftes Einzelzimmer mit Balkon und Gemeinschaftsflächen rd. 50 qm in
einer großzügige und top gepflegten 3-Zimmer-Wohnung mit umlaufendem Balkon
mitten in Alt-Schwabing zwischen Münchner Freiheit und Englischem Garten.  
  
""Sundowner bei Sonnenuntergang“ auf dem Terrassenbalkon ca. 30 qm  
Schön, möbeliertes und zentrales Zimmer in bester Lage. Stilvoll sanierter
Wohnung mit Abstellraum in München-Schwabing.  
Erwähnenswert ist die Helligkeit in allem Räumen, und die dem Baujahr
entsprechenden etwas höheren Decken, die somit ein angenehmes großzügiges
Raumgefühl geben.  
Ausstattung:Bett(100cmx200cm), Kleiderschrank, Schreibtisch und Stuhl.  
Gemeinschaftsfläche rd. 50 qm.  
Stylisch renoviert!  
Special:  
-Elektrische Rollläden  
-großzügiges Entrée  
-Küche komplett mit Backofen, Kochfeld, Spülmaschine, Kühlschrank, Gefrierfach, Spüle, dunkler, gedämmter Linoleumboden, ein natürliche Bodenbelag. Haushaltsüblichen Utensilien sind vorhanden   
-Masterbad: 1 Waschtisch, WC, Regendusche, Badewanne, Handtuchtrockner, dunkelgraue Boden- und Wandfliesen wandhoch gefliest.  
-WC: 1 Waschtisch, WC, dunkelgraue Boden- und Wandfliesen gefliest.  
-Abstellkammer mit Regal  
-Staubsauger, Bügelbrett mit Bügeleisen  
-WLAN 

Servus ! Welcome to 01.12.2022* 🖤 Eine Person_einziehen am
01.12.2022_Schwabing ist jung, urban, akademisch und wird's auch bleiben !
—Online-Besichtigung —Einzelbesichtigung Traumhaftes Einzelzimmer mit Balkon
und Gemeinschaftsflächen rd. 50 qm in einer großzügige u...

",,,,,,,"https://img.wg-gesucht.de/media/up/2021/13/cd8eaad4665cbfbcabaf8ae26054579e1b599ad4fbc20d91fa2a04efdea54cf6_Regal_Schrank.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2019/21/946e1bb698658583887cd0e06ef93f24f86c860fff3177fa62c4473bd06aefdd_14_Schreibtisch_Drehsessel.thumb.png?w=67,https://img.wg-gesucht.de/media/up/2021/11/60c404e20bf065a49aa6a896525f5bd5bf0052b50c95a776a391e050302d0e1a_Zimmer_mit_Balkon.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2021/11/433adc3e61def0378b5aca2597103ad61a0b869e6e62e838418e87898a1a2378_Regal.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2021/15/60f15d8d06ab4e1b78d77e027b19147b44abd3ed33a4c67272d84cc78c20c1da_161878068952152162112.thumb.JPEG?w=120,https://img.wg-gesucht.de/media/up/2021/09/f687b708d47e15095afe71296b3ab7114978348035b7e98f118f4cfa2897f113_Bildschirmfoto_2021_03_07_um_09.23.00.thumb.png?w=120,https://img.wg-gesucht.de/media/up/2022/32/029e34a7716fa3d4526cee1c1b71e73244b6f36e24f691e5207aced4034ac789_Bild_12.08.22_um_12.50.thumb.jpg?w=114,https://img.wg-gesucht.de/media/up/2019/24/5d156a654cb8bc6f0d95e25e1527b33105b23a48a32ba2e067e9d1fc1bb0a8ce_Mu_nchnerFreiheit.thumb.jpeg?w=90,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif"
7,19.10.2022,,"####  Die WG

  * Zimmer in 6er WG 
  *   * 6er WG 
  *   * gemischte WG 
  * Sprache/n: ![Spanisch](img/d.gif) Spanisch,  ![Englisch](img/d.gif) Englisch,  ![Deutsch](img/d.gif) Deutsch 

",31.10.2022,"31.12.2022

",,,n.a.,,n.a.,,,,,,,N,N,,"###  Zimmer

Da ich die nächsten 6 Wochen reisen bin, würde ich gerne mein schönes Zimmer
in der Zeit wen anderes überlassen.  
Helles 18qm Zimmer im ersten OG  
Das Zimmer ist wie auf den Bildern zu sehen in der Zeit komplett möbliert. Nur
meine Klamotten nehme ich mit.  
Klavier, Monitor, Anlage und Co können also gerne benutzt werden 😊  
Da die Pflanzen auch bleiben, würde ich mich freuen, wenn du sie in
regelmäßigen Abständen mal gießen könntest.  
Wir verfügen über ein nettes und modernes Haus mit drei Etagen, riesigen
Wohnzimmer und Garten, sodass jeder immer genug Platz hat :)

Da ich die nächsten 6 Wochen reisen bin, würde ich gerne mein schönes Zimmer
in der Zeit wen anderes überlassen. Helles 18qm Zimmer im ersten OG Das Zimmer
ist wie auf den Bildern zu sehen in der Zeit komplett möbliert. Nur meine
Klamotten nehme ich mit. Klavier, Monit...

",,,,,,,
8,19.10.2022,,"###  Adresse

Leopoldstr. 49  
80802 München Schwabing-Freimann  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",27.11.2022,"

",,,200€,150,200m²,,,,,,,N,N,,"###  Zimmer

Lieber Interessent,  
  
unsere WG bietet Dir alles, was Du als Münchner Student brauchst:  
  
\- eine denkmalgeschützte Stadtvilla von 1881  
\- direkt an der U-Bahnstation Münchner Freiheit  
\- 5 min zur LMU/15 min zur TUM  
\- mitten im Szeneviertel Schwabing (Bars, Kultur, Restaurants,
Einkaufsmöglichkeiten)  
\- unser eigenes Segelboot am Ammersee  
\- ein Stipendium für Dein Auslandssemester  
\- 6 neue Freunde in Deiner WG  
\- und vor allem: jede Menge Spaß und Abwechslung neben Deinem Studium!  
  
(!!!) Wichtig: Informiere dich vor deiner Bewerbung kurz über unsere
Studentenverbindung und Verbindungen im Allgemeinen. Gehe in deiner Bewerbung
konkret darauf ein.  
\- https://de.wikipedia.org/wiki/Studentenverbindung  
\- https://www.instagram.com/hansea1853/  
\- https://www.hansea.cc/  
  
WER SIND WIR?  
  
Wir sind die Mitglieder der ""Landsmannschaft Hansea auf dem Wels"". Wir
Hanseaten sind eine unpolitische und unkonfessionelle Studentenverbindung.
Seit 1853 haben wir es uns zum Ziel gesetzt, Freundschaften zu fördern, die
auch über das Studium hinaus Bestand haben. Wir helfen uns gegenseitig beim
Studium und bieten dabei die Möglichkeit, einen großen und Generationen
übergreifenden Freundeskreis zu erschließen.  
  
WIE VERBRINGEN WIR UNSERE FREIZEIT?  
  
Wir planen im kommenden Wintersemester unter anderem eine Städtereise nach
Dresden, eine Skifreizeit in Saalbach, einen Besuch des Residenztheaters und
unsere traditionelle Semesterparty mit Kreuzfahrt-Motto. Wenn das Dein
Interesse geweckt hat, würden wir uns freuen, Dir mal unser Haus zu zeigen und
danach vielleicht noch das ein oder andere Bier in unserer hauseigenen Bar zu
trinken.  
  
WIE SEHEN UNSERE ZIMMER AUS?  
  
6 Zimmer mit 12 m² und 1 Zimmer mit 18m². Die bereits vorhandene Möblierung
der Zimmers besteht aus Schreibtisch, Schreibtischstuhl, Kleiderschrank und
Bett mit Matratze sowie einem Regal. Eigene Möbel dürfen zusätzlich dazu gerne
mitgebracht werden.  
  
WAS BIETET UNSER VERBINDUNGSHAUS?  
  
Zusätzlich zu den sieben Aktivenzimmern haben wir eine Vielzahl weiterer
Räume, die wir gemeinsam nutzen. Darunter eine Küche, mehrere Bäder, Räume für
Veranstaltungen, zwei Balkone, unser gemütliches Clubzimmer, sowie unseren
Fechtraum. Besonders hervorzuheben ist unser Wintergarten, der sich perfekt
zum Lernen eignet und unsere Dachterrasse, auf der wir uns gerne im Sommer zum
Grillen treffen. Nicht zu vergessen ist unsere bereits erwähnte Bar, in der
oft reges Treiben herrscht.

Lieber Interessent, unsere WG bietet Dir alles, was Du als Münchner Student
brauchst: \- eine denkmalgeschützte Stadtvilla von 1881 \- direkt an der
U-Bahnstation Münchner Freiheit \- 5 min zur LMU/15 min zur TUM \- mitten im
Szeneviertel Schwabing (Bars, Kultur, Restaur...

",,,,,,,"https://img.wg-gesucht.de/media/up/2021/33/ac054c57a3f10b59b1bd271a0aace5683a1e2a5207f4221ef76070efda428d57_image0.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2016/23/fa83c70750580990_1461619_777395385619825_915329542_n_kopie_kopie.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2021/33/c8f897546f735e7139d141487ce3da8249bddab60e65a0a38056b330ff24efd3_image5.thumb.jpeg?w=160,https://img.wg-gesucht.de/media/up/2021/33/f1bd5e2ef108eeb32246167974374e7fb5c3112f1d5ab06059b727de2fa3616d_image2.thumb.jpeg?w=160,https://img.wg-gesucht.de/media/up/2021/33/6ed703bc528560067f88a51a18a9adb4ce6597d268286e3b979e8e72f420cf70_image4.thumb.jpeg?w=160,https://img.wg-gesucht.de/media/up/2019/30/17f4fe1da25a152230fe827cb1098363dc1f2ed2c5ed97644d53d79b4cde4fe1_IMG_1135.thumb.jpeg?w=120,https://img.wg-gesucht.de/media/up/2015/29/a46ea47250580990_1901917_823451227680907_2045495940_n.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2019/30/24d0390a0e16325bab6219087c6e239908c46cf5058f398dfe90412f5cf23a88_DSC01790.thumb.jpg?w=120,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif"
9,18.10.2022,,"###  Adresse

Gmunder Str.  
81379 München Sendling  
[ Umzugsfirma beauftragen
](/moving_service.html?tracking_view=moving_service_short) 1  

",01.11.2022,"

",,,1860€,4500,58m²,,,,,,,N,N,,"###  Wohnung

Erstbezug nach Renovierung und Neumöblierung!  
Die helle, ideal geschnittene Wohnung liegt ruhig im 4. Og eines klassischen
Mehrfamilienhauses.  
Sie betreten die Wohnung über den Gang mit Abstellnische, Garderobe und
Schuhschrank.  
Gleich links liegt die geräumige Wohnküche, ausgestattet mit einer brandneuen
Einbauküche mit Herd, Backrohr, Abzug, einer großen Kühl- Gefrierkombi und
Waschtrockner. Die Wohnküche bietet großzügig Raum für einen Essplatz.  
Anschließend gelangt man in das gemütliche Zimmer mit ca. 16 qm, ausgestattet
mit Kleiderschrank, Schreibtisch und Regal, breitem Bett 140x200 cm, und
Nachttisch. Zum Relaxen steht ein bequemer Sessel bereit.  
Gegenüber befindet sich das nach Süden orientierte Zimmer mit Balkon, ca. 20
qm groß. Mittig befindet sich die Couch mit Couchtisch, daneben eine Kommode.
Gegenüber das breite Bett mit Nachttisch, sowie der Kleiderschrank. Vor der
Fensterfront, steht der Schreibtisch mit Schreibtischstuhl, daneben das Regal.
Vom Balkon aus, bietet sich ein weiter Fernblick über Obersendling.  
Beide Zimmer sind mit Vorhängen ausgestattet.  
Am Ende das Flurs liegt das weiß

geflieste Badezimmer mit Wanne, über dem Waschbecken bietet ein Spiegelschrank
Platz für die persönlichen Utensilien.

Erstbezug nach Renovierung und Neumöblierung! Die helle, ideal geschnittene
Wohnung liegt ruhig im 4. Og eines klassischen Mehrfamilienhauses. Sie
betreten die Wohnung über den Gang mit Abstellnische, Garderobe und
Schuhschrank. Gleich links liegt die geräumige Wohnküc...

",,,,,,,"https://img.wg-gesucht.de/media/up/2022/42/83bcb55d4b2f6ff850473ad57ffd3cd46543b18fba9e0fb9f487eac1c269a4ec_20221018_174438.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/42/718aeed5b8143a69a106fca97b4effca2e54775fa5203e0e5cf21a5d7601c220_20221018_175017.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/42/04fef9ccb507f9825b7680fcd0939bc90f02ab6bc1ff33b228bd69c31c0a084f_20221018_173940.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/42/e2663554389691136f8ddb6048514f206ad624462074ca97e2c8d12a4e6054a9_20221018_174316.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/41/5aed4a92413ac7b1b3e9dacca2c2446657bd5e9324f90c31f76c30a3c4692fe7_20221015_173047.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/41/3ec5b9b07b72fc12bd188b403795e3c1c901796e660161c9d43075977ba9380e_20221015_174239.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/41/3481aa0647e5d453af273bffb3cc68ba7159b861865a07089d03562108a81670_20221015_173839.thumb.jpg?w=120,https://img.wg-gesucht.de/media/up/2022/41/0c42483ae770403870ac564f5af5b96bef910c2aea3b1cd26e8dfa2b931daa5a_20221015_172954.thumb.jpg?w=120,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif,https://www.wg-gesucht.de/img/d.gif"
