,Link,Posting Date,vacant_form,vacant_till
0,,,,
1,https://housinganywhere.com/de/s/M%C3%BCnchen--Deutschland/wg-zimmer?utm_source=wg-gesucht&utm_medium=affiliate&affiliate_partner_id=32473&utm_campaign=top-placement&utm_content=munich&utm_term=website,19.10.2022,20.10.2022,"

"
2,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Altstadt-Lehel.9460367.html,19.10.2022,01.11.2022,"

"
3,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling.9675813.html,19.10.2022,18.10.2022,"01.06.2023

"
4,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Schwabing-West.9688100.html,19.10.2022,31.10.2022,"01.12.2023

"
5,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwabing-West.9590138.html,19.10.2022,20.10.2022,"

"
6,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Untergiesing-Harlaching.9140924.html,19.10.2022,19.10.2022,"

"
7,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwabing.6826005.html,19.10.2022,01.12.2022,"

"
8,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Moosach.9686365.html,19.10.2022,31.10.2022,"31.12.2022

"
9,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwabing-Freimann.5058099.html,19.10.2022,27.11.2022,"

"
10,https://www.wg-gesucht.de/wohnungen-in-Munchen-Sendling.9682382.html,18.10.2022,01.11.2022,"

"
11,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Laim.9666412.html,18.10.2022,01.11.2022,"

"
12,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling.9654202.html,18.10.2022,01.11.2022,"

"
13,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Bernried.5365264.html,18.10.2022,18.10.2022,"15.10.2023

"
14,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ramersdorf-Perlach.7396445.html,18.10.2022,31.10.2022,"

"
15,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Berg-am-Laim.9586399.html,18.10.2022,01.11.2022,"31.05.2023

"
16,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwanthalerhoehe.9523604.html,18.10.2022,07.11.2022,"27.11.2022

"
17,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwanthalerhoehe.7940912.html,18.10.2022,01.11.2022,"

"
18,https://www.wg-gesucht.de/wohnungen-in-Munchen-Au-Haidhausen.9687874.html,18.10.2022,01.11.2022,"15.12.2022

"
19,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.6708058.html,18.10.2022,18.10.2022,"30.11.2022

"
20,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Moosach.4880504.html,18.10.2022,01.11.2022,"31.12.2024

"
21,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Munchen.9687904.html,18.10.2022,20.10.2022,"03.11.2022

"
